"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.205381498499819,0.207331663461343,0.213358358723672,14321.6,0.95,0.0421380461033384,0.34485405132642,0.5,0.37,NA,NA,NA,NA,NA
"kappa",14.9678534677887,13.0105161119434,9.02079005450986,12504,0.95,2.46653479752027,32.546797943433,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.357184167195592,0.357120143340824,0.356979685684331,29793.4,0.95,0.318911427945305,0.394695161168366,0.5,0,NA,NA,NA,NA,NA
"theta[2]",0.320555642981471,0.319497822325171,0.317721390213316,29310.9,0.95,0.23637039864596,0.404754139054991,0.5,0.004,NA,NA,NA,NA,NA
"theta[3]",0.188781531370377,0.186145845921129,0.180133794826712,25703.4,0.95,0.102450095315956,0.276875338666281,0.5,0,NA,NA,NA,NA,NA
"theta[4]",0.153906246564544,0.150295572485485,0.139541627927626,23506.5,0.95,0.066123891359282,0.249251919587171,0.5,0,NA,NA,NA,NA,NA
"theta[5]",0.181832760583021,0.180765072359268,0.179600003988704,27606.5,0.95,0.129712823677085,0.23746207194993,0.5,0,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.0366285242141209,0.0375225500261805,0.0426377102264974,30976.9,0.95,-0.0565693933602089,0.128085966890421,0,78.084,NA,NA,NA,NA,NA
"theta[1]-theta[3]",0.168402635825216,0.170461132305702,0.169489348063571,25995.8,0.95,0.0691218566650854,0.261278226653969,0,99.858,NA,NA,NA,NA,NA
"theta[1]-theta[4]",0.203277920631048,0.206224071085025,0.207442157834315,24066.2,0.95,0.0998191869392092,0.298497335913176,0,99.968,NA,NA,NA,NA,NA
"theta[1]-theta[5]",0.175351406612571,0.175926877923688,0.177492439172111,28406,0.95,0.109285778230517,0.241968214510027,0,100,NA,NA,NA,NA,NA
"theta[2]-theta[3]",0.131774111611095,0.1322719654785,0.127327969527059,26917,0.95,0.00993024936743714,0.253108071953378,0,98.17,NA,NA,NA,NA,NA
"theta[2]-theta[4]",0.166649396416927,0.167741178903631,0.163485982293596,24861,0.95,0.041694488337607,0.295357736397615,0,99.35,NA,NA,NA,NA,NA
"theta[2]-theta[5]",0.13872288239845,0.138441466182675,0.141848210847181,28347,0.95,0.0402562982614301,0.240661983730542,0,99.734,NA,NA,NA,NA,NA
"theta[3]-theta[4]",0.0348752848058322,0.0350914436657333,0.0341549245350418,27693.7,0.95,-0.0926613853024295,0.157944094123104,0,71.178,NA,NA,NA,NA,NA
"theta[3]-theta[5]",0.00694877078735549,0.00528155808897983,0.00327936407894333,28309,0.95,-0.0958211985857921,0.109505046348377,0,53.988,NA,NA,NA,NA,NA
"theta[4]-theta[5]",-0.0279265140184767,-0.030376863925838,-0.0340229992181344,26318.7,0.95,-0.131572654218165,0.0788539417197035,0,29.004,NA,NA,NA,NA,NA
