"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"omega",0.291609388342586,0.293386048577745,0.295425143689832,13997.2,0.95,0.189231380417482,0.392634548652428,0.5,0.058,NA,NA,NA,NA,NA
"kappa",20.2200279600633,18.2369517717907,14.4559540313536,11359.3,0.95,3.84454897865494,40.8718412333081,NA,NA,NA,NA,NA,NA,NA
"theta[1]",0.375300695784268,0.374903642353344,0.371906612919058,28204.1,0.95,0.315688851269791,0.434928309768113,0.5,0.004,NA,NA,NA,NA,NA
"theta[2]",0.189055135197452,0.187386868315039,0.185483263173771,23386.1,0.95,0.118718482065867,0.262107652043336,0.5,0,NA,NA,NA,NA,NA
"theta[3]",0.357766989341936,0.352229016471887,0.334236619422633,25961.8,0.95,0.186198697088964,0.543494100852773,0.5,6.968,NA,NA,NA,NA,NA
"theta[4]",0.319987387814225,0.319419142113452,0.317371828291124,30692.9,0.95,0.256117104181771,0.384583424250383,0.5,0,NA,NA,NA,NA,NA
"theta[5]",0.228851902288197,0.228201898485975,0.226891694579687,29451.6,0.95,0.181749402420856,0.277591472253344,0.5,0,NA,NA,NA,NA,NA
"theta[6]",0.324728429623099,0.31972394389797,0.3134995149007,24007.8,0.95,0.162246308927708,0.502656371855534,0.5,3.056,NA,NA,NA,NA,NA
"theta[7]",0.343274755333093,0.339969130631832,0.340519175188291,26310.1,0.95,0.19452211672135,0.491708187308876,0.5,2.662,NA,NA,NA,NA,NA
"theta[8]",0.406041315341656,0.404204364247257,0.399918329675757,25159,0.95,0.288337719314947,0.524627821750295,0.5,6.53,NA,NA,NA,NA,NA
"theta[9]",0.246185883074592,0.242732145925914,0.234912903212501,20660.2,0.95,0.0791549606395308,0.416293203736131,0.5,0.38,NA,NA,NA,NA,NA
"theta[10]",0.344725078550517,0.343615601649404,0.337931415465301,28737.3,0.95,0.25779810060862,0.431082108326569,0.5,0.028,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.186245560586816,0.186959534543007,0.185458136155707,24507.3,0.95,0.0915977117166623,0.279980185253333,0,99.99,NA,NA,NA,NA,NA
"theta[1]-theta[8]",-0.0307406195573884,-0.0299598798068855,-0.0376899976010877,27458.4,0.95,-0.163009473240265,0.099172205899822,0,32.782,NA,NA,NA,NA,NA
"theta[1]-theta[9]",0.129114812709676,0.132504021637961,0.140693670003878,21402.2,0.95,-0.0519173132011054,0.307530788844658,0,91.438,NA,NA,NA,NA,NA
"theta[2]-theta[8]",-0.216986180144205,-0.215790182227345,-0.207480526803128,23229.6,0.95,-0.358595587905568,-0.0767541066726205,0,0.074,NA,NA,NA,NA,NA
"theta[2]-theta[9]",-0.0571307478771406,-0.0531177875112136,-0.0461724442737976,24694.2,0.95,-0.236139861504058,0.117338061474297,0,27.706,NA,NA,NA,NA,NA
"theta[8]-theta[9]",0.159855432267064,0.159815856094021,0.166232347445758,21336,0.95,-0.0480710991144971,0.367015635576439,0,93.37,NA,NA,NA,NA,NA
