"Status_Checking","Duration","Credit_history","Purpose","Credit_amount","Saving","Empolyment_duration","Installment_rate","Otherdebtors","Residence_Year","Property","Age","Other_installment_plan","Housing","Exisiting_credits","Job","Liable_People","Telephone","Foreign_worker","Credit_default","Sex","Marital_status"
"1",">0<200$",48,"existing_credits_paid_back_duly_till_now","radio_television",5951,"<100$",">1year<=4years",2,"no",2,"real_estate",22,"no","own",1,"skilled",1,"no","yes",1,"F","divorced"
"2","no_savings",12,"other_credits_existing_other_bank","education",2096,"<100$",">4years<=7years",2,"no",3,"real_estate",49,"no","own",1,"unskilled",2,"no","yes",0,"M","single"
"3","<0$",42,"existing_credits_paid_back_duly_till_now","furniture/equipment",7882,"<100$",">4years<=7years",2,"guarantor",4,"life_insurance",45,"no","for_free",1,"skilled",2,"no","yes",0,"M","single"
"4","<0$",24,"delay_pay_past","car_new",4870,"<100$",">1year<=4years",3,"no",4,"no_property",53,"no","for_free",2,"skilled",2,"no","yes",1,"M","single"
"5","no_savings",36,"existing_credits_paid_back_duly_till_now","education",9055,"no_savings",">1year<=4years",2,"no",4,"no_property",35,"no","for_free",1,"unskilled",2,"yes","yes",0,"M","single"
"6","no_savings",24,"existing_credits_paid_back_duly_till_now","furniture/equipment",2835,">500<1000",">=7years",3,"no",4,"life_insurance",53,"no","own",1,"skilled",1,"no","yes",0,"M","single"
"7",">0<200$",36,"existing_credits_paid_back_duly_till_now","car_used",6948,"<100$",">1year<=4years",2,"no",2,"car_other",35,"no","rent",1,"self-employed",1,"yes","yes",0,"M","single"
"8","no_savings",12,"existing_credits_paid_back_duly_till_now","radio_television",3059,">=1000",">4years<=7years",2,"no",4,"real_estate",61,"no","own",1,"unskilled",1,"no","yes",0,"M","divorced"
"9",">0<200$",30,"other_credits_existing_other_bank","car_new",5234,"<100$","unemployed",4,"no",2,"car_other",28,"no","own",2,"self-employed",1,"no","yes",1,"M","married"
"10",">0<200$",12,"existing_credits_paid_back_duly_till_now","car_new",1295,"<100$","<1year",3,"no",1,"car_other",25,"no","rent",1,"skilled",1,"no","yes",1,"F","divorced"
