"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta0",-13.9697931753849,-13.8287,-13.9740351369314,481,0.95,-27.3828,-0.37315,NA,NA,NA,NA,NA,NA,NA
"beta[1]",3.63424317059788,3.61557,3.23702016210472,353.9,0.95,-1.27285,8.52718,NA,NA,NA,NA,NA,NA,NA
"beta[2]",2.26507924011878,2.28386,2.39350314398428,352,0.95,-2.67375,6.88771,NA,NA,NA,NA,NA,NA,NA
"beta[3]",-7.28496201810638,-7.06329,-6.47393771435337,1115.1,0.95,-15.8407,0.910784,NA,NA,NA,NA,NA,NA,NA
"beta[4]",-3.52990662931614,-3.537,-3.96900776072249,405.6,0.95,-8.73032,1.41048,NA,NA,NA,NA,NA,NA,NA
"beta[5]",8.58497226678664,8.477,8.26086213348662,666.7,0.95,1.7045,15.9764,NA,NA,NA,NA,NA,NA,NA
"beta[6]",-0.934577089754049,-0.82655,-0.687324550209055,496.4,0.95,-6.33352,4.41984,NA,NA,NA,NA,NA,NA,NA
"beta[7]",0.759787982028394,0.807644,1.06217480181204,424.5,0.95,-4.21695,5.4083,NA,NA,NA,NA,NA,NA,NA
"beta[8]",4.08604642995601,3.92521,3.65119757372075,825.4,0.95,-2.69727,10.9487,NA,NA,NA,NA,NA,NA,NA
"beta[9]",-3.0133569440012,-2.94333,-2.73840603143199,433,0.95,-8.23905,1.90247,NA,NA,NA,NA,NA,NA,NA
"beta[10]",0.0591127769655469,0.0784391,-0.196774797879655,601.8,0.95,-5.35152,5.0853,NA,NA,NA,NA,NA,NA,NA
"beta[11]",3.51891712556669,3.49838,3.24675052192293,424,0.95,-0.958807,7.94424,NA,NA,NA,NA,NA,NA,NA
"beta[12]",-2.01646397952909,-1.97791,-1.48405088941514,513.8,0.95,-7.41486,3.14044,NA,NA,NA,NA,NA,NA,NA
"beta[13]",-5.9542934455069,-5.58569,-5.44662651722389,2682.8,0.95,-18.7582,6.99299,NA,NA,NA,NA,NA,NA,NA
"beta[14]",1.88203162673065,3.69639,4.2294933123667,1579.7,0.95,-17.9455,14.4575,NA,NA,NA,NA,NA,NA,NA
"beta[15]",3.91534022685863,3.8542,3.70765138105349,672.3,0.95,-2.24961,9.92884,NA,NA,NA,NA,NA,NA,NA
"beta[16]",-0.647543057343331,-0.638318,-0.7636452777608,396.6,0.95,-5.4694,3.92603,NA,NA,NA,NA,NA,NA,NA
